,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,year,cast,crew,keywords,movieId,imdbId,tmdbId,score
41405,41405,41405,41405,False,,0,"Romance,Animation,Drama",https://www.funimationfilms.com/movie/yourname/,372058,tt5311514,Japanese,君の名は。,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",34.461252,http://img.omdbapi.com/?i=tt5311514&h=600&apikey=f3f2af9c,CoMix_Wave_Films,Japan,2016-08-26,355298270.0,106.0,日本語,Released,,Your Name.,False,8.5,1030.0,2016,"Taki Tachibana (voice)-Ryunosuke Kamiki,Mitsuha Miyamizu (voice)-Mone Kamishiraishi,Miki Okudera (voice)-Masami Nagasawa,Hitoha Miyamizu (voice)-Etsuko Ichihara,Katsuhiko Teshigawara (voice)-Ryou Narita,Sayaka Natori (voice)-Aoi Yuki,Tsukasa Fuji (voice)-Nobunaga Shimazaki,Shinta Takagi (voice)-Kaito Ishikawa,Yotsuha Miyamizu (voice)-Tani Kanon,Toshiki Miyamizu (voice)-Masaki Terasoma,Futaha Miyamizu (voice)-Sayaka Ohara,Yukari Yukino (voice)-Kana Hanazawa,Taki's father (voice)-Kazuhiko Inoue",Makoto Shinkai,"supernatural,romance,school,star crossed lovers,anime,body switching",,,,100.00000000000003
43426,43426,43426,43426,False,,4696772,"Romance,Drama",http://sonyclassics.com/callmebyyourname/,398818,tt5726616,English,Call Me by Your Name,"Elio Perlman is spending the summer with his family at their vacation home in Lombardy, Italy. When his father hires a handsome doctoral student, the curious 17-year-old finds himself developing a growing attraction to the young man.",4.300874,http://img.omdbapi.com/?i=tt5726616&h=600&apikey=f3f2af9c,,"Brazil,France,Italy,United_States_of_America",2017-10-27,0.0,130.0,"Français,English,Italiano",Released,,Call Me by Your Name,False,0.0,18.0,2017,"Elio Perlman-Timothée Chalamet,Oliver-Armie Hammer,Mr. Perlman-Michael Stuhlbarg,Annella Perlman-Amira Casar,Marzia-Esther Garrel,Chiara-Victoire Du Bois,Mafalda-Vanda Capriolo,Anchiese-Antonio Rimoldi,Isaac-Peter Spears,Mounir-André Aciman,Art Historian 1-Elena Bucci,Art Historian 2-Marco Sgrosso",Luca Guadagnino,"italy,based on novel,love,gay relationship,summer,teenage boy,lgbt",,,,50.232877822567175
32538,32538,32538,32538,False,,0,Crime,,261005,tt0282154,English,Servo suo,A lonely school teacher is kidnapped by the mob to carry out an important hit.,0.25,http://img.omdbapi.com/?i=tt0282154&h=600&apikey=f3f2af9c,,,1973-09-10,0.0,92.0,Italiano,Released,,Your Honor,False,0.0,0.0,1973,,Romano Scavolini,,,,,33.609692727625756
17412,17412,17412,17412,False,,49900000,Comedy,http://www.yourhighnessmovie.net/,38319,tt1240982,English,Your Highness,"A fantasy movie about an arrogant, lazy prince and his more heroic brother who must complete a quest in order to save their father's kingdom.",5.67375,http://img.omdbapi.com/?i=tt1240982&h=600&apikey=f3f2af9c,"Universal_Pictures,Stuber_Productions",United_States_of_America,2011-04-08,26121638.0,102.0,English,Released,Get your quest on.,Your Highness,False,5.2,511.0,2011,"Thadeous-Danny McBride,Fabious-James Franco,Isabel-Natalie Portman,Belladonna-Zooey Deschanel,Leezar-Justin Theroux,Julie-Toby Jones,Boremont-Damian Lewis,Courtney-Rasmus Hardiker,Manious the Bold-Simon Farnaby,Thundarian-Deobia Oparei,King Tallious-Charles Dance,Royal Advisor-B.J. Hogg,Mother-Matyelok Gibbs,Mother-Angela Pleasence,Mother-Anna Barry,The Giant Troll-Michael Clarke Duncan,Maiden-Amber Anderson,Marteetee-John Fricker,Narrator / Soul of the Maze-Charles Shaughnessy,Forest Woman-Rhian Sugden,Forest Woman-Amii Grove,Forest Woman-Madison Welch,Regina-Eva Wyrwal,Minotaur-Brian Steele,Daronius the Swift-David Garrick,Handmaiden-Caroline Grace-Cassidy,Warlock-Julian Rhind-Tutt",David Gordon Green,"kidnapping,traitor,virgin,prince,princess,revenge,minotaur,knight,dragon,wedding,king,sword and sorcery",,,,33.609692727625756
12014,12014,12014,12014,False,,0,Comedy,,15581,tt0785077,English,Who's Your Caddy?,"When ""street smart"" rapper Christopher ""C-Note"" Hawkins (Big Boi) applies for a membership to all-white Carolina Pines Country Club, the establishment's proprietors are hardly ready to oblige him.",1.197217,http://img.omdbapi.com/?i=tt0785077&h=600&apikey=f3f2af9c,"The_Weinstein_Company,Dimension_Films,Metro-Goldwyn-Mayer_(MGM)",United_States_of_America,2007-07-27,0.0,93.0,English,Released,,Who's Your Caddy?,False,3.8,18.0,2007,"Valet-Mick Partridge,C-Note-Big Boi,Lady G-Sherri Shepherd,Himself-Lil Wayne,Wilson Cummings-Andy Milonakis,Big Large-Faizon Love,Tank-Terry Crews,Big Willie Johnson-Tony Cox,Cummings-Jeffrey Jones,Caddy Mack-James Avery,Shannon Williams-Tamala Jones",Don Michael Paul,sport,,,,26.055567105626242
16746,16746,16746,16746,False,,0,"Drama,Thriller",,84207,tt0078150,English,Remember My Name,"Just released from prison, a young woman arrives in town to ""start a new life"", but soon begins stalking a married construction worker for no apparent reason, turning his life inside out and eventually terrorizing him and his wife.",0.324251,http://img.omdbapi.com/?i=tt0078150&h=600&apikey=f3f2af9c,"Columbia_Pictures,Lions_Gate_Films",United_States_of_America,1978-02-10,0.0,94.0,English,Released,Remember my name… or else.,Remember My Name,False,5.7,3.0,1978,"Emily-Geraldine Chaplin,Neil Curry-Anthony Perkins,Pike-Moses Gunn,Barbara Curry-Berry Berenson,Mr. Lee Nudd-Jeff Goldblum,Jeff (as Timothy Thomerson)-Tim Thomerson,Rita-Alfre Woodard,Teresa-Marilyn Coleman,Harry (as Jeffrey S. Perry)-Jeff Perry,Rusty (as Carlos Brown)-Alan Autry,Franks-Dennis Franz",Alan Rudolph,"prison,stalking,obsessive compulsive disorder",,,,26.055567105626242
41857,41857,41857,41857,False,,0,Comedy,,135286,tt0028275,French,Soigne ton Gauche,"Roger, son of a farmer, wants to be a boxer, and gets his chance by filling in for a boxer's sparring partner. However, Roger does not know how to box and reads a rule book while in the ring.",0.518977,http://img.omdbapi.com/?i=tt0028275&h=600&apikey=f3f2af9c,,France,1936-08-20,0.0,13.0,Français,Released,,Watch Your Left,False,6.0,5.0,1936,"Roger-Jacques Tati,Postman-Max Martell,Boxer-Louis Robur,-Cliville,-Jean Aurel,-Champel,-Van der Haegen",René Clément,,135286.0,118909.0,92943.0,26.055567105626242
15635,15635,15635,15635,False,,0,"Drama,Horror,Thriller",,85023,tt0070435,English,A Name for Evil,"Dissatisfied with the family architectural business, a man and his wife pack up and move out to his great-grandfather's old house in the country. While trying to patch it up, the house starts to make it clear to him that it doesn't want him there, but the local church (with some off-kilter practices of their own) seems to take a shine to him.",0.00335,http://img.omdbapi.com/?i=tt0070435&h=600&apikey=f3f2af9c,,,1973-01-01,0.0,74.0,English,Released,The dream house that becomes a nightmare.,A Name for Evil,False,0.0,0.0,1973,"John Blake-Robert Culp,Joanna Blake-Samantha Eggar,Luanna Baxter-Sheila Sullivan,Fats-Mike Lane,Jimmy-Clarence 'Big' Miller,Mary-Sue Hathaway,Orgy Girl (uncredited)-Rene Bond",Bernard Girard,"male nudity,funeral,nudism,falling from height",,,,26.055567105626242
15172,15172,15172,15172,False,,2500000,"Comedy,Drama",http://www.freerainer.de/,1912,tt0810868,German,Free Rainer - Dein Fernseher lügt,"Frustrated, because he is forced to produce bad TV-shows, a manager of a TV-station, enters the station and manipulates the ratings, to initiate a TV-revolution.",2.529219,http://img.omdbapi.com/?i=tt0810868&h=600&apikey=f3f2af9c,"Coop_99,kahuuna_films,Österreichischer_Rundfunk_(ORF)",Germany,2007-09-11,0.0,129.0,Deutsch,Released,,Reclaim Your Brain,False,6.9,30.0,2007,"Rainer-Moritz Bleibtreu,Pegah-Elsa Schulz Gambard,Maiwald-Gregor Bloéb,Philipp-Milan Peschel,Anna-Simone Hanselmann,Maiwalds Freundin-Franziska Knuppe,Kreativling-Thorsten Feller,Junger Mann - Titanic Show-Vinzenz Kiefer,Frau Arnim-Us Conradi,Bernd-Tom Jahn,Harry-Robert Viktor Minich,Sebastian-Ralf Knicker,Karl-Heinz-Andreas Brandt,Gopal-Irshad Panjatan,Moderatorin-Doris Golpashin,Gründgens-Peer Jäger,Pegahs Großvater-Valentin Platareanu,Pegah als Kind-Leyli Timner,Mutter Spaghetti-Finja Martens,Hostess-Islam Ben Arfa,Kreativling #2-Hans Weingartner,Rechtsextremist-Jonas Laleman,Kinderhasserin-Eva-Maria Kurz,Partygast-Alexander Müller,Partygast-Jörg Purschke,Partygast-Toshko Savov,Partygast-Nicole Pilzecker,Lehrer-Walter Hötte",Hans Weingartner,"berlin,suicide,assassination,alcohol,drug abuse,sense of guilt,solidarity,loyalty,blackmail,bathing,cocaine,self-awareness,tv show,manipulation of the media,media tycoon,gun rampage,jaguar,arrest,group,friendship,car crash,hospital",1912.0,120780.0,1389.0,26.055567105626242
42543,42543,42543,42543,False,,0,Documentary,,362610,tt2949296,Spanish,I Am Your Father,"David Prowse is an eighty years old actor, who has lived behind Darth Vader's mask during three decades. A group of Star Wars fans find out why he has been apparently forgotten by Lucasfilm during thirty years, and decide to give him back the glory he never had. This is their last opportunity.",1.867981,http://img.omdbapi.com/?i=tt2949296&h=600&apikey=f3f2af9c,"Singular_Audiovisual,Strange_Friends,Coproducción_España-Reino_Unido,Nova_Televisió",Spain,2015-10-05,0.0,83.0,"English,Español",Released,You know the movies. You know the villain. Now meet the man.,I Am Your Father,False,6.9,19.0,2015,"Himself-David Prowse,Himself-Marcos Cabotá,Himself-Marcus Hearn,Himself-Jonathan Rigby,Himself-Lou Ferrigno,Himself-Kenny Baker,Himself-Gary Kurtz,Himself-Robert Watts,Himself-Ben Burtt,Himself-Jeremy Bulloch,Himself-Manuel M. Velasco,Himself-Eduardo Biurrun,Himself-David Ambit,Narrator (voice)-Colm Meaney",Marcos Cabotá,"film making,interview,makeup,space opera,injustice,george lucas,acting,fan convention,darth vader,convention",,,,26.055567105626242
